Marital_status,Application_order,Course,Previous_qualification,Mother's_qualification,Father's_qualification,Admission_grade,Educational_special_needs,Gender,Scholarship_holder,Age_at_enrollment,Unemployment_rate,Inflation_rate,GDP,Target
single,1,Nursing,1,38,38,100,no,female,no,20,13.9,-0.3,0.79,Enrolled
single,1,Social Service,1,19,37,140.4,no,female,yes,20,7.6,2.6,0.32,Enrolled
single,1,Management,1,19,19,113.4,no,female,no,20,12.4,0.5,1.79,Enrolled
single,2,Veterinary Nursing,1,37,38,137,no,female,no,18,9.4,-0.8,-3.12,Graduate
single,1,Management,1,2,19,121.8,no,female,no,18,11.1,0.6,2.02,Graduate
single,1,Tourism,1,1,1,131,no,female,no,21,9.4,-0.8,-3.12,Dropout
single,2,Management,1,19,19,118.6,no,female,no,19,16.2,0.3,-0.92,Graduate
single,1,Animation and Multimedia Design,1,3,19,122.3,no,female,no,19,10.8,1.4,1.74,Dropout
single,1,Advertising and Marketing Management,1,38,38,127.9,no,female,yes,19,9.4,-0.8,-3.12,Graduate
single,1,Veterinary Nursing,1,19,38,121.3,no,female,no,19,15.5,2.8,-4.06,Graduate
single,6,Oral Hygiene,1,1,1,117.1,no,female,no,19,13.9,-0.3,0.79,Dropout
single,1,Veterinary Nursing,39,37,37,160,no,female,no,20,12.4,0.5,1.79,Graduate
single,1,Basic Education,1,19,38,145.3,no,female,yes,18,9.4,-0.8,-3.12,Enrolled
single,3,Social Service,1,1,39,122.6,no,female,no,18,12.4,0.5,1.79,Graduate
single,6,Nursing,1,1,37,128,no,female,no,19,12.4,0.5,1.79,Graduate
single,3,Nursing,1,19,19,124.9,no,female,yes,18,13.9,-0.3,0.79,Dropout
single,2,Communication Design,1,37,37,123.7,no,female,no,18,7.6,2.6,0.32,Graduate
single,4,Management,1,1,19,120.1,no,female,no,19,8.9,1.4,3.51,Graduate
single,6,Nursing,1,1,19,131.7,no,female,no,19,13.9,-0.3,0.79,Dropout
single,1,Social Service,1,38,37,133.2,no,female,no,20,7.6,2.6,0.32,Graduate
single,1,Advertising and Marketing Management,1,1,38,109.3,no,female,yes,19,12.4,0.5,1.79,Dropout
single,1,Advertising and Marketing Management,1,19,19,113,no,female,no,20,7.6,2.6,0.32,Graduate
single,1,Journalism and Communication,1,1,1,157.9,no,female,yes,18,8.9,1.4,3.51,Graduate
single,2,Nursing,1,19,1,112.1,no,female,yes,20,11.1,0.6,2.02,Enrolled
single,1,Nursing,1,19,1,174.7,no,female,no,18,13.9,-0.3,0.79,Graduate
single,5,Nursing,1,37,37,128.8,no,female,no,19,7.6,2.6,0.32,Graduate
single,6,Journalism and Communication,1,19,1,110.1,no,female,yes,19,12.4,0.5,1.79,Graduate
single,1,Management,1,3,1,99.7,no,female,no,22,8.9,1.4,3.51,Enrolled
single,3,Social Service,1,1,12,121,no,female,yes,19,12.4,0.5,1.79,Graduate
single,3,Nursing,1,19,19,131.7,no,female,yes,19,15.5,2.8,-4.06,Graduate
single,5,Basic Education,1,37,38,119.1,no,female,yes,19,9.4,-0.8,-3.12,Graduate
single,4,Tourism,1,12,19,124.7,no,female,no,19,7.6,2.6,0.32,Dropout
single,1,Tourism,1,1,37,117.2,no,female,no,20,7.6,2.6,0.32,Dropout
single,1,Management,1,3,19,128.8,no,female,no,18,13.9,-0.3,0.79,Graduate
single,1,Nursing,1,1,19,131.5,no,female,yes,20,11.1,0.6,2.02,Graduate
single,1,Animation and Multimedia Design,1,3,37,121.7,no,female,no,18,9.4,-0.8,-3.12,Enrolled
single,1,Veterinary Nursing,1,1,38,123.4,no,female,no,19,7.6,2.6,0.32,Graduate
single,1,Basic Education,1,38,38,124.7,no,female,no,18,9.4,-0.8,-3.12,Enrolled
single,1,Basic Education,1,37,37,132.8,no,female,no,18,7.6,2.6,0.32,Graduate
single,1,Basic Education,1,3,37,108.7,no,female,no,21,9.4,-0.8,-3.12,Dropout
single,1,Basic Education,1,38,37,138.1,no,female,no,19,7.6,2.6,0.32,Dropout
single,1,Management,1,38,38,126.5,no,female,yes,18,12.4,0.5,1.79,Graduate
single,2,Social Service,1,1,37,127.4,no,female,yes,18,12.7,3.7,-1.7,Graduate
single,3,Social Service,1,19,1,123.6,no,female,no,20,9.4,-0.8,-3.12,Graduate
single,1,Social Service (evening attendance),1,1,19,122,no,female,yes,24,11.1,0.6,2.02,Graduate
single,1,Advertising and Marketing Management,1,19,1,118.2,no,female,no,19,10.8,1.4,1.74,Dropout
single,1,Nursing,1,19,37,123.9,no,female,yes,18,15.5,2.8,-4.06,Graduate
single,2,Nursing,1,19,19,125.8,no,female,no,18,15.5,2.8,-4.06,Graduate
single,5,Basic Education,1,12,12,123.3,no,female,no,21,10.8,1.4,1.74,Dropout
single,2,Advertising and Marketing Management,1,1,19,124.4,no,female,no,19,7.6,2.6,0.32,Graduate
single,1,Journalism and Communication,1,19,37,126,no,female,yes,19,15.5,2.8,-4.06,Graduate
widower,1,Agronomy,1,1,37,170,no,female,no,47,8.9,1.4,3.51,Enrolled
single,3,Social Service,1,19,19,121.5,no,female,no,19,13.9,-0.3,0.79,Graduate
single,1,Nursing,3,2,2,130,no,female,no,29,12.7,3.7,-1.7,Graduate
single,1,Social Service,1,19,19,117,no,female,no,21,16.2,0.3,-0.92,Dropout
single,1,Veterinary Nursing,1,37,19,130,no,female,no,28,12.7,3.7,-1.7,Enrolled
single,2,Oral Hygiene,1,37,37,108,no,female,no,20,15.5,2.8,-4.06,Graduate
single,1,Nursing,1,2,38,132.3,no,female,no,19,7.6,2.6,0.32,Graduate
single,1,Social Service (evening attendance),1,19,2,148,no,female,no,26,9.4,-0.8,-3.12,Graduate
single,2,Tourism,1,37,37,122.6,no,female,no,20,11.1,0.6,2.02,Dropout
single,1,Advertising and Marketing Management,1,37,37,123,no,female,yes,18,7.6,2.6,0.32,Enrolled
single,1,Basic Education,1,37,19,102.5,no,female,no,27,7.6,2.6,0.32,Graduate
single,2,Nursing,1,34,34,113.3,no,female,no,20,7.6,2.6,0.32,Dropout
single,5,Basic Education,1,37,19,133,no,female,no,18,9.4,-0.8,-3.12,Dropout
single,1,Nursing,3,1,1,140,no,female,no,33,16.2,0.3,-0.92,Dropout
single,1,Basic Education,1,3,1,128.3,no,female,no,35,12.4,0.5,1.79,Graduate
single,1,Management (evening attendance),39,37,19,140,no,female,yes,26,9.4,-0.8,-3.12,Enrolled
single,1,Journalism and Communication,19,19,19,104,no,female,no,27,11.1,0.6,2.02,Dropout
single,3,Communication Design,1,1,37,122.3,no,female,no,19,15.5,2.8,-4.06,Dropout
single,2,Tourism,1,1,19,135,no,female,no,20,11.1,0.6,2.02,Dropout
single,2,Management,1,3,3,119.1,no,female,no,20,10.8,1.4,1.74,Dropout
single,1,Social Service,1,1,37,126.6,no,female,no,21,9.4,-0.8,-3.12,Enrolled
single,3,Nursing,1,38,1,129,no,female,yes,18,7.6,2.6,0.32,Graduate
single,1,Veterinary Nursing,1,1,19,162.3,no,female,no,24,8.9,1.4,3.51,Dropout
single,4,Communication Design,1,1,3,163.4,no,female,no,20,16.2,0.3,-0.92,Graduate
single,1,Tourism,1,19,38,121.5,no,female,yes,21,13.9,-0.3,0.79,Graduate
single,1,Social Service (evening attendance),1,1,37,122.8,no,female,no,23,9.4,-0.8,-3.12,Enrolled
single,1,Management,1,12,3,118,no,female,no,24,7.6,2.6,0.32,Dropout
single,1,Basic Education,1,1,1,134,no,female,no,21,12.4,0.5,1.79,Dropout
single,4,Nursing,1,38,38,129.8,no,female,no,18,12.7,3.7,-1.7,Graduate
single,1,Management (evening attendance),40,19,1,152,no,female,no,27,8.9,1.4,3.51,Dropout
single,6,Nursing,1,37,37,122.8,no,female,no,18,9.4,-0.8,-3.12,Graduate
single,1,Informatics Engineering,3,3,2,150,no,female,no,35,13.9,-0.3,0.79,Dropout
single,1,Basic Education,1,19,19,131.8,no,female,no,18,11.1,0.6,2.02,Graduate
single,1,Nursing,1,1,3,105.9,no,female,no,35,11.1,0.6,2.02,Enrolled
single,1,Veterinary Nursing,1,1,1,132.1,no,female,no,19,10.8,1.4,1.74,Graduate
single,4,Social Service,1,19,19,127.4,no,female,no,20,7.6,2.6,0.32,Graduate
single,4,Nursing,1,19,19,129.5,no,female,no,18,10.8,1.4,1.74,Graduate
single,1,Social Service,39,38,38,126.7,no,female,no,21,13.9,-0.3,0.79,Graduate
single,2,Social Service,1,19,37,116.5,no,female,yes,18,16.2,0.3,-0.92,Graduate
single,1,Social Service,1,34,34,119.1,no,female,no,18,7.6,2.6,0.32,Graduate
single,2,Nursing,1,19,38,126.5,no,female,no,18,12.7,3.7,-1.7,Graduate
single,4,Journalism and Communication,1,3,19,149.8,no,female,yes,18,16.2,0.3,-0.92,Graduate
single,1,Veterinary Nursing,1,19,1,115.1,no,female,no,19,13.9,-0.3,0.79,Graduate
single,1,Tourism,19,3,19,124.5,no,female,yes,36,16.2,0.3,-0.92,Dropout
single,2,Nursing,1,38,1,128.3,no,female,yes,18,12.7,3.7,-1.7,Graduate
single,1,Nursing,1,37,37,136,no,female,yes,18,7.6,2.6,0.32,Graduate
single,1,Equinculture,1,1,3,140,no,female,yes,20,13.9,-0.3,0.79,Graduate
single,1,Management (evening attendance),1,37,37,126.3,no,female,yes,26,16.2,0.3,-0.92,Dropout
single,1,Journalism and Communication,1,1,1,126.9,no,female,no,21,7.6,2.6,0.32,Graduate
single,1,Oral Hygiene,40,1,1,145,no,female,no,25,15.5,2.8,-4.06,Enrolled
single,1,Management,1,19,3,115.8,no,female,yes,19,12.4,0.5,1.79,Graduate
single,1,Social Service (evening attendance),1,19,37,100,no,female,no,24,9.4,-0.8,-3.12,Dropout
single,1,Social Service (evening attendance),1,1,19,102.5,no,female,yes,27,8.9,1.4,3.51,Dropout
single,1,Veterinary Nursing,1,19,37,131.5,no,female,no,21,7.6,2.6,0.32,Dropout
single,1,Management,1,38,38,147,no,female,yes,18,9.4,-0.8,-3.12,Graduate
married,4,Basic Education,1,37,37,122.5,yes,female,yes,19,10.8,1.4,1.74,Graduate
single,3,Tourism,1,1,1,117.5,no,female,no,18,9.4,-0.8,-3.12,Dropout
single,1,Nursing,1,19,1,150,no,female,yes,19,11.1,0.6,2.02,Graduate
single,1,Nursing,1,1,38,127.5,no,female,yes,19,16.2,0.3,-0.92,Graduate
married,1,Management (evening attendance),43,40,5,140,no,female,no,33,11.1,0.6,2.02,Graduate
married,1,Management,3,1,4,130,no,female,no,45,12.4,0.5,1.79,Graduate
single,1,Social Service,1,1,1,133.3,no,female,yes,20,11.1,0.6,2.02,Graduate
single,2,Advertising and Marketing Management,1,34,34,97,no,female,no,28,7.6,2.6,0.32,Dropout
single,1,Nursing,1,1,1,112,no,female,yes,19,12.7,3.7,-1.7,Graduate
single,2,Tourism,1,1,37,123.6,no,female,no,18,12.7,3.7,-1.7,Graduate
single,1,Tourism,3,19,19,130.5,no,female,no,38,15.5,2.8,-4.06,Dropout
single,2,Advertising and Marketing Management,1,1,3,133.3,no,female,no,19,9.4,-0.8,-3.12,Graduate
single,1,Tourism,1,1,37,132.1,no,female,yes,21,15.5,2.8,-4.06,Graduate
single,1,Management,1,37,1,100,no,female,no,21,16.2,0.3,-0.92,Dropout
single,1,Social Service,1,38,37,140.4,no,female,yes,22,10.8,1.4,1.74,Graduate
single,1,Basic Education,1,19,19,141.7,no,female,yes,18,9.4,-0.8,-3.12,Graduate
single,2,Social Service,1,37,37,119.7,yes,female,yes,18,15.5,2.8,-4.06,Graduate
single,1,Equinculture,1,19,1,122.5,no,female,no,25,9.4,-0.8,-3.12,Dropout
single,1,Veterinary Nursing,19,19,19,140,no,female,no,24,16.2,0.3,-0.92,Dropout
single,3,Nursing,1,3,1,119.4,no,female,no,19,12.4,0.5,1.79,Enrolled
single,1,Animation and Multimedia Design,1,3,3,155,no,female,no,24,12.4,0.5,1.79,Enrolled
single,2,Management,1,37,19,119.1,no,female,yes,20,12.4,0.5,1.79,Graduate
single,1,Management,1,37,1,122.7,no,female,no,25,10.8,1.4,1.74,Dropout
single,1,Management,1,38,19,117.9,no,female,yes,20,8.9,1.4,3.51,Graduate
single,1,Nursing,3,19,38,130,no,female,no,23,9.4,-0.8,-3.12,Graduate
single,3,Nursing,1,19,37,120,no,female,yes,19,10.8,1.4,1.74,Graduate
single,1,Agronomy,39,37,37,130,no,female,no,29,13.9,-0.3,0.79,Dropout
single,3,Tourism,1,19,37,116.8,no,female,no,21,11.1,0.6,2.02,Graduate
single,1,Advertising and Marketing Management,1,19,1,123.4,no,female,yes,18,11.1,0.6,2.02,Graduate
single,3,Communication Design,1,19,38,125.4,no,female,no,19,9.4,-0.8,-3.12,Enrolled
single,3,Journalism and Communication,1,38,37,127.2,no,female,yes,18,8.9,1.4,3.51,Dropout
single,1,Veterinary Nursing,1,9,19,103.4,no,female,no,19,7.6,2.6,0.32,Graduate
single,1,Journalism and Communication,1,37,37,123.2,no,female,no,18,9.4,-0.8,-3.12,Enrolled
single,1,Management,1,1,1,124.1,no,female,no,18,8.9,1.4,3.51,Graduate
married,1,Oral Hygiene,19,38,37,99.5,no,female,yes,37,8.9,1.4,3.51,Dropout
single,1,Management (evening attendance),40,37,37,124.9,no,female,no,29,16.2,0.3,-0.92,Graduate
single,3,Communication Design,1,37,37,110.8,no,female,no,18,7.6,2.6,0.32,Enrolled
single,1,Social Service,1,1,1,118.9,no,female,yes,19,12.4,0.5,1.79,Graduate
single,1,Social Service,1,1,1,118.8,no,female,no,22,16.2,0.3,-0.92,Dropout
single,1,Tourism,1,37,38,137,no,female,yes,20,15.5,2.8,-4.06,Graduate
single,1,Social Service (evening attendance),1,37,37,100,no,female,no,34,12.7,3.7,-1.7,Dropout
single,1,Informatics Engineering,1,37,38,120,no,female,no,30,7.6,2.6,0.32,Dropout
single,1,Social Service,1,1,1,122.8,no,female,no,18,10.8,1.4,1.74,Graduate
single,1,Social Service,1,38,19,121.6,no,female,no,18,12.4,0.5,1.79,Graduate
single,2,Journalism and Communication,1,3,1,149.2,no,female,no,18,9.4,-0.8,-3.12,Graduate
single,4,Nursing,1,4,1,140,no,female,no,18,12.7,3.7,-1.7,Graduate
single,2,Journalism and Communication,1,38,38,133.4,no,female,yes,19,12.7,3.7,-1.7,Graduate
single,1,Communication Design,1,37,37,126.2,no,female,yes,19,10.8,1.4,1.74,Graduate
single,5,Nursing,1,1,1,127.8,no,female,yes,18,12.7,3.7,-1.7,Graduate
single,1,Agronomy,39,37,38,150,no,female,yes,21,13.9,-0.3,0.79,Graduate
single,2,Management,1,1,19,113.7,no,female,no,20,7.6,2.6,0.32,Dropout
single,1,Management,1,12,19,117.8,no,female,no,20,13.9,-0.3,0.79,Graduate
single,1,Nursing,1,5,1,136.7,no,female,no,19,11.1,0.6,2.02,Graduate
single,1,Social Service,1,1,38,144.7,no,female,no,20,16.2,0.3,-0.92,Graduate
single,3,Nursing,1,12,1,139.8,no,female,no,18,13.9,-0.3,0.79,Graduate
single,1,Basic Education,1,37,38,113.7,no,female,no,20,12.7,3.7,-1.7,Dropout
married,1,Equinculture,3,5,4,140,no,female,no,29,7.6,2.6,0.32,Dropout
single,1,Nursing,1,19,19,142.3,no,female,yes,18,12.4,0.5,1.79,Enrolled
single,1,Nursing,1,19,19,119.6,no,female,yes,20,15.5,2.8,-4.06,Graduate
single,2,Management,1,38,37,123.7,no,female,yes,22,16.2,0.3,-0.92,Graduate
divorced,1,Social Service (evening attendance),1,39,19,143,no,female,yes,47,16.2,0.3,-0.92,Graduate
married,1,Management (evening attendance),1,37,37,100.1,no,female,no,31,8.9,1.4,3.51,Graduate
single,1,Communication Design,1,19,37,119.4,no,female,yes,21,16.2,0.3,-0.92,Graduate
single,1,Social Service (evening attendance),1,38,38,122.1,no,female,no,21,7.6,2.6,0.32,Graduate
married,1,Journalism and Communication,12,1,1,100,no,female,no,24,7.6,2.6,0.32,Graduate
single,1,Communication Design,1,4,37,113.9,no,female,no,18,15.5,2.8,-4.06,Enrolled
single,1,Social Service (evening attendance),15,34,1,101,no,female,no,32,7.6,2.6,0.32,Graduate
single,2,Social Service (evening attendance),1,3,1,111.8,no,female,yes,19,10.8,1.4,1.74,Graduate
single,1,Nursing,1,3,3,140,no,female,no,24,9.4,-0.8,-3.12,Graduate
single,4,Veterinary Nursing,1,19,19,124.4,no,female,no,19,15.5,2.8,-4.06,Graduate
single,1,Agronomy,39,19,37,150,no,female,yes,19,13.9,-0.3,0.79,Graduate
single,1,Agronomy,39,37,37,140,no,female,no,24,12.4,0.5,1.79,Enrolled
single,4,Social Service,1,19,19,116,no,female,yes,18,8.9,1.4,3.51,Graduate
single,1,Communication Design,1,38,37,135.6,no,female,yes,19,8.9,1.4,3.51,Dropout
married,1,Nursing,1,3,38,121,no,female,yes,19,10.8,1.4,1.74,Graduate
